Processing question_tags.csv...
Processed 29700000 rows, current total: 15359
Processed 29800000 rows, current total: 15423
Processed 29900000 rows, current total: 15492
Processed 30000000 rows, current total: 15561
Processed 30100000 rows, current total: 15621
Processed 30200000 rows, current total: 15679
Processed 30300000 rows, current total: 15759
Processed 30400000 rows, current total: 15825
Processed 30500000 rows, current total: 15877
Processed 30600000 rows, current total: 15940
Processed 30700000 rows, current total: 16005
Processed 30800000 rows, current total: 16075
Processed 30900000 rows, current total: 16148
Processed 31000000 rows, current total: 16227
Processed 31100000 rows, current total: 16305
Processed 31200000 rows, current total: 16377
Processed 31300000 rows, current total: 16453
Processed 31400000 rows, current total: 16533
Processed 31500000 rows, current total: 16604
Processed 31600000 rows, current total: 16673
Processed 31700000 rows, current total: 16758
Processed 31800000 rows, current total: 16829
Processed 31900000 rows, current total: 16930
Processed 32000000 rows, current total: 16992
Processed 32100000 rows, current total: 17069
Processed 32200000 rows, current total: 17133
Processed 32300000 rows, current total: 17205
Processed 32400000 rows, current total: 17272
Processed 32500000 rows, current total: 17338
Processed 32600000 rows, current total: 17412
Processed 32700000 rows, current total: 17477
Processed 32800000 rows, current total: 17558
Processed 32900000 rows, current total: 17628
Processed 33000000 rows, current total: 17712
Processed 33100000 rows, current total: 17772
Processed 33200000 rows, current total: 17858
Processed 33300000 rows, current total: 17942
Processed 33400000 rows, current total: 18005
Processed 33500000 rows, current total: 18074
Processed 33600000 rows, current total: 18138
Processed 33700000 rows, current total: 18205
Processed 33800000 rows, current total: 18268
Processed 33900000 rows, current total: 18343
Processed 34000000 rows, current total: 18411
Processed 34100000 rows, current total: 18485
Processed 34200000 rows, current total: 18556
Processed 34300000 rows, current total: 18635
Processed 34400000 rows, current total: 18706
Processed 34500000 rows, current total: 18771
Processed 34600000 rows, current total: 18863
Processed 34700000 rows, current total: 18941
Processed 34800000 rows, current total: 19024
Processed 34900000 rows, current total: 19087
Processed 35000000 rows, current total: 19170
Processed 35100000 rows, current total: 19244
Processed 35200000 rows, current total: 19335
Processed 35300000 rows, current total: 19411
Processed 35400000 rows, current total: 19497
Processed 35500000 rows, current total: 19578
Processed 35600000 rows, current total: 19658
Processed 35700000 rows, current total: 19731
Processed 35800000 rows, current total: 19835
Processed 35900000 rows, current total: 19924
Processed 36000000 rows, current total: 20008
Processed 36100000 rows, current total: 20089
